1 2 Root achieved_by Task1
2 3 Task1 consists_of T_1_1_1_1
2 4 Task1 consists_of T_1_1_2_2
3 5 T_1_1_1_1 consists_of T_2_1_1_3
3 6 T_1_1_1_1 consists_of T_2_1_2_4
4 7 T_1_1_2_2 consists_of T_2_2_1_5
4 8 T_1_1_2_2 consists_of T_2_2_2_6
5 9 T_2_1_1_3 consists_of T_3_1_1_7
5 10 T_2_1_1_3 consists_of T_3_1_2_8
6 11 T_2_1_2_4 consists_of T_3_2_1_9
6 12 T_2_1_2_4 consists_of T_3_2_2_10
7 13 T_2_2_1_5 consists_of T_3_3_1_11
7 14 T_2_2_1_5 consists_of T_3_3_2_12
8 15 T_2_2_2_6 consists_of T_3_4_1_13
8 16 T_2_2_2_6 consists_of T_3_4_2_14
9 17 T_3_1_1_7 consists_of T_4_1_1_15
9 18 T_3_1_1_7 consists_of T_4_1_2_16
10 19 T_3_1_2_8 consists_of T_4_2_1_17
10 20 T_3_1_2_8 consists_of T_4_2_2_18
11 21 T_3_2_1_9 consists_of T_4_3_1_19
11 22 T_3_2_1_9 consists_of T_4_3_2_20
12 23 T_3_2_2_10 consists_of T_4_4_1_21
12 24 T_3_2_2_10 consists_of T_4_4_2_22
13 25 T_3_3_1_11 consists_of T_4_5_1_23
13 26 T_3_3_1_11 consists_of T_4_5_2_24
14 27 T_3_3_2_12 consists_of T_4_6_1_25
14 28 T_3_3_2_12 consists_of T_4_6_2_26
15 29 T_3_4_1_13 consists_of T_4_7_1_27
15 30 T_3_4_1_13 consists_of T_4_7_2_28
16 31 T_3_4_2_14 consists_of T_4_8_1_29
16 32 T_3_4_2_14 consists_of T_4_8_2_30
17 33 T_4_1_1_15 consists_of T_5_1_1_31
17 34 T_4_1_1_15 consists_of T_5_1_2_32
18 35 T_4_1_2_16 consists_of T_5_2_1_33
18 36 T_4_1_2_16 consists_of T_5_2_2_34
19 37 T_4_2_1_17 consists_of T_5_3_1_35
19 38 T_4_2_1_17 consists_of T_5_3_2_36
20 39 T_4_2_2_18 consists_of T_5_4_1_37
20 40 T_4_2_2_18 consists_of T_5_4_2_38
21 41 T_4_3_1_19 consists_of T_5_5_1_39
21 42 T_4_3_1_19 consists_of T_5_5_2_40
22 43 T_4_3_2_20 consists_of T_5_6_1_41
22 44 T_4_3_2_20 consists_of T_5_6_2_42
23 45 T_4_4_1_21 consists_of T_5_7_1_43
23 46 T_4_4_1_21 consists_of T_5_7_2_44
24 47 T_4_4_2_22 consists_of T_5_8_1_45
24 48 T_4_4_2_22 consists_of T_5_8_2_46
25 49 T_4_5_1_23 consists_of T_5_9_1_47
25 50 T_4_5_1_23 consists_of T_5_9_2_48
26 51 T_4_5_2_24 consists_of T_5_10_1_49
26 52 T_4_5_2_24 consists_of T_5_10_2_50
27 53 T_4_6_1_25 consists_of T_5_11_1_51
27 54 T_4_6_1_25 consists_of T_5_11_2_52
28 55 T_4_6_2_26 consists_of T_5_12_1_53
28 56 T_4_6_2_26 consists_of T_5_12_2_54
29 57 T_4_7_1_27 consists_of T_5_13_1_55
29 58 T_4_7_1_27 consists_of T_5_13_2_56
30 59 T_4_7_2_28 consists_of T_5_14_1_57
30 60 T_4_7_2_28 consists_of T_5_14_2_58
31 61 T_4_8_1_29 consists_of T_5_15_1_59
31 62 T_4_8_1_29 consists_of T_5_15_2_60
32 63 T_4_8_2_30 consists_of T_5_16_1_61
